DateTime,AddedIPs,RemovedIPs
1492250577,10,10
1492251121,3,3
1492251721,1,4
1492252084,0,64
1492252322,4,2
1492252922,2,0
1492253521,3,1
1492254010,74,7
1492254123,1,0
1492254178,0,4
1492254721,1,1
1492255924,0,48
1492256522,3,2
1492257122,13,0
1492257363,1,2
1492257845,49,3
1492258322,3,8
1492258921,1,2
1492259521,2,2
1492259762,67,10
1492260963,1,0
1492261685,3,101
1492262522,13,17
1492263121,1,0
1492263722,4,5
1492264562,0,6
1492264978,5,11
1492265521,0,3
1492266121,1,0
1492267322,1,1
1492267924,108,45
1492268162,2,5
1492268577,4,7
1492269722,1,1
1492270322,2,0
1492270921,1,0
1492271764,41,82
1492272177,3,16
1492273322,2,7
1492273982,2,6
1492274522,2,4
1492275604,58,10
1492275778,3,11
1492276321,0,1
1492277524,28,9
1492278121,6,1
1492278721,2,1
1492278963,13,1
1492279684,3,97
1492279922,2,0
1492280521,2,0
1492281181,0,3
1492281603,55,0
1492281721,0,2
1492282562,13,6
1492282921,2,0
1492283521,0,5
1492284121,1,7
1492285442,49,21
1492285921,1,0
1492286162,12,0
1492286522,0,1
1492286578,1,0
1492287121,1,3
1492287363,0,118
1492287721,1,0
1492288922,1,3
1492289522,49,0
1492289763,6,9
1492290178,0,2
1492291924,35,59
1492293363,8,0
1492293780,8,0
1492294322,0,1
1492295763,1,41
1492296122,1,3
1492296722,1,2
1492296962,5,4
1492297683,37,3
1492297921,1,0
1492298521,3,1
1492299604,63,46
1492299721,0,3
1492300322,3,2
1492300563,4,4
1492300922,1,3
1492301522,1,3
1492302121,0,1
1492303442,75,25
1492303921,1,0
1492304163,5,6
1492304522,3,0
1492305121,1,4
1492305363,0,100
1492305722,4,0
1492306321,0,1
1492306381,1,2
1492306921,1,0
1492307282,53,0
1492307762,3,4
1492308179,1,5
1492309322,0,2
1492311123,72,64
1492311362,3,4
1492311779,1,0
1492312322,1,0
1492313045,1,85
1492313521,6,0
1492314721,0,2
1492314963,97,0
1492315379,3,2
1492315922,0,3
1492317121,7,5
1492317721,1,6
1492318322,1,2
1492318812,66,162
1492318979,0,4
1492319523,1,0
1492320122,1,2
1492320963,77,0
1492321322,0,16
1492321922,1,2
1492322162,4,3
1492322578,0,2
1492323121,1,0
1492323721,2,0
1492324321,1,5
1492324803,50,1
1492324922,1,0
1492325522,0,2
1492325763,6,0
1492326178,0,4
1492326723,3,85
1492327322,1,0
1492327922,9,0
1492328643,49,8
1492329123,1,0
1492329362,5,4
1492329779,0,8
1492330321,1,0
1492330922,4,5
1492331522,0,1
1492332122,2,2
1492332484,51,81
1492332722,2,6
1492332962,3,8
1492333439,0,5
